Target Distance: 200, Step Size: 20
0: (x,y)=(0,0)
1: (x,y)=(-8.13473,-18.2709)
2: (x,y)=(-11.2634,1.48286)
3: (x,y)=(7.40819,-5.6845)
4: (x,y)=(-2.28801,-23.1769)
5: (x,y)=(-22.1389,-20.7395)
6: (x,y)=(-13.6866,-38.8657)
7: (x,y)=(6.28603,-37.8189)
8: (x,y)=(25.849,-41.9772)
9: (x,y)=(18.0344,-23.5671)
10: (x,y)=(-1.37156,-28.4055)
11: (x,y)=(13.0152,-42.2987)
12: (x,y)=(7.83886,-61.6172)
13: (x,y)=(6.44373,-41.6659)
14: (x,y)=(8.5343,-21.7755)
15: (x,y)=(26.0267,-31.4717)
16: (x,y)=(7.00556,-25.2913)
17: (x,y)=(-9.17478,-13.5356)
18: (x,y)=(4.20783,1.32726)
19: (x,y)=(-0.968548,20.6458)
20: (x,y)=(18.8824,18.2084)
21: (x,y)=(32.5223,3.58132)
22: (x,y)=(17.6594,-9.80129)
23: (x,y)=(35.7856,-18.2537)
24: (x,y)=(16.9917,-11.4133)
25: (x,y)=(36.7971,-14.1967)
26: (x,y)=(55.3408,-6.70458)
27: (x,y)=(38.1974,-17.0053)
28: (x,y)=(56.1733,-25.7728)
29: (x,y)=(72.9467,-36.6656)
30: (x,y)=(92.2653,-31.4892)
31: (x,y)=(97.4416,-12.1707)
32: (x,y)=(100.57,7.58311)
33: (x,y)=(91.4905,-10.237)
34: (x,y)=(111.487,-10.5861)
35: (x,y)=(131.338,-13.0235)
36: (x,y)=(141.035,-30.5158)
37: (x,y)=(122.363,-37.6832)
38: (x,y)=(122.014,-17.6863)
39: (x,y)=(128.194,-36.7074)
40: (x,y)=(144.375,-48.4631)
41: (x,y)=(124.742,-52.2793)
42: (x,y)=(131.253,-71.1896)
43: (x,y)=(140.643,-53.5307)
44: (x,y)=(160.494,-51.0933)
45: (x,y)=(141.006,-55.5923)
46: (x,y)=(124.045,-66.1907)
47: (x,y)=(136.082,-82.1634)
48: (x,y)=(126.386,-99.6558)
49: (x,y)=(130.544,-80.0929)
50: (x,y)=(139.311,-98.0687)
51: (x,y)=(139.66,-78.0718)
52: (x,y)=(150.844,-61.491)
53: (x,y)=(136.951,-75.8778)
54: (x,y)=(140.08,-95.6316)
55: (x,y)=(147.572,-77.0879)
56: (x,y)=(166.797,-82.6007)
57: (x,y)=(148.526,-90.7354)
58: (x,y)=(164.706,-78.9797)
After 59 steps, the subject has the following location:
(x,y)=(178.849,-93.1218)
or
(m,a)=(201.639,-0.48005)
Average outward distance per step = 3.41762
Target Distance: 200, Step Size: 20
0: (x,y)=(0,0)
1: (x,y)=(4.83844,19.4059)
2: (x,y)=(-10.2558,32.5271)
3: (x,y)=(-28.3819,24.0747)
4: (x,y)=(-44.5622,35.8304)
5: (x,y)=(-57.6834,50.9246)
6: (x,y)=(-71.066,36.0617)
7: (x,y)=(-87.6468,24.8779)
8: (x,y)=(-75.3336,40.6381)
9: (x,y)=(-95.2848,39.243)
10: (x,y)=(-91.4687,58.8755)
11: (x,y)=(-104.851,73.7384)
12: (x,y)=(-91.2113,88.3655)
13: (x,y)=(-99.346,70.0946)
14: (x,y)=(-79.3948,71.4897)
15: (x,y)=(-59.5043,73.5803)
16: (x,y)=(-79.1369,69.7641)
17: (x,y)=(-98.9422,66.9806)
18: (x,y)=(-81.9813,77.579)
19: (x,y)=(-101.832,75.1416)
20: (x,y)=(-91.2338,58.1807)
21: (x,y)=(-109.21,49.4132)
22: (x,y)=(-129.015,52.1967)
23: (x,y)=(-125.542,32.5005)
24: (x,y)=(-138.128,48.0435)
25: (x,y)=(-157.255,42.196)
26: (x,y)=(-156.208,62.1686)
27: (x,y)=(-155.161,42.196)
28: (x,y)=(-135.173,41.498)
29: (x,y)=(-123.989,58.0788)
30: (x,y)=(-111.403,73.6217)
31: (x,y)=(-112.45,53.6491)
32: (x,y)=(-125.306,38.3282)
33: (x,y)=(-133.44,56.5991)
34: (x,y)=(-150.021,45.4153)
35: (x,y)=(-143.51,64.3256)
36: (x,y)=(-162.735,69.8384)
37: (x,y)=(-173.628,53.065)
38: (x,y)=(-155.084,45.5729)
39: (x,y)=(-159.583,26.0855)
40: (x,y)=(-147.27,41.8457)
41: (x,y)=(-161.412,55.9878)
42: (x,y)=(-165.57,75.5508)
43: (x,y)=(-183.063,65.8546)
After 44 steps, the subject has the following location:
(x,y)=(-200.555,75.5508)
or
(m,a)=(214.313,2.78132)
Average outward distance per step = 4.87076
Target Distance: 200, Step Size: 2
0: (x,y)=(0,0)
1: (x,y)=(-0.876742,-1.79759)
2: (x,y)=(-2.26606,-0.358908)
3: (x,y)=(-0.266364,-0.324004)
4: (x,y)=(1.30966,0.907319)
5: (x,y)=(-0.690038,0.872414)
6: (x,y)=(0.673959,-0.590293)
7: (x,y)=(2.65905,-0.834032)
8: (x,y)=(1.81381,-2.64665)
9: (x,y)=(-0.181313,-2.50713)
10: (x,y)=(0.994257,-4.12517)
11: (x,y)=(2.11264,-5.78324)
12: (x,y)=(3.91023,-4.9065)
13: (x,y)=(5.02862,-6.56458)
14: (x,y)=(3.08803,-7.04842)
15: (x,y)=(3.57187,-8.98901)
16: (x,y)=(4.25591,-7.10963)
17: (x,y)=(4.93995,-5.23024)
18: (x,y)=(5.97003,-3.51591)
19: (x,y)=(4.14294,-2.70243)
20: (x,y)=(4.62678,-0.761842)
21: (x,y)=(6.62678,-0.761842)
22: (x,y)=(8.62678,-0.761842)
23: (x,y)=(8.59187,1.23785)
24: (x,y)=(10.4329,2.01932)
25: (x,y)=(9.98298,0.0705759)
26: (x,y)=(7.99789,-0.173163)
27: (x,y)=(7.82358,1.81923)
28: (x,y)=(9.79895,2.1321)
29: (x,y)=(11.7743,2.44496)
30: (x,y)=(10.136,1.29781)
31: (x,y)=(12.0993,1.67943)
32: (x,y)=(14.0747,1.9923)
33: (x,y)=(13.5234,0.0697751)
34: (x,y)=(14.6127,-1.60757)
35: (x,y)=(16.1887,-2.83889)
36: (x,y)=(14.4926,-1.77905)
37: (x,y)=(15.5524,-0.0829543)
38: (x,y)=(17.0387,-1.42122)
39: (x,y)=(16.4874,-3.34374)
40: (x,y)=(18.4725,-3.1)
41: (x,y)=(18.2635,-1.11096)
42: (x,y)=(16.5142,-2.08058)
43: (x,y)=(18.4948,-2.35892)
44: (x,y)=(20.4511,-1.9431)
45: (x,y)=(18.875,-3.17442)
46: (x,y)=(17.093,-2.26644)
47: (x,y)=(18.9201,-3.07991)
48: (x,y)=(16.9396,-3.35826)
49: (x,y)=(15.4075,-4.64384)
50: (x,y)=(13.9212,-5.9821)
51: (x,y)=(15.5986,-7.07137)
52: (x,y)=(15.5288,-5.07259)
53: (x,y)=(17.5178,-4.86354)
54: (x,y)=(18.363,-3.05092)
55: (x,y)=(18.7789,-5.00722)
56: (x,y)=(19.4629,-6.8866)
57: (x,y)=(17.9766,-8.22486)
58: (x,y)=(19.6727,-9.2847)
59: (x,y)=(18.3871,-7.75261)
60: (x,y)=(19.447,-6.05652)
61: (x,y)=(21.065,-4.88094)
62: (x,y)=(22.5971,-3.59537)
63: (x,y)=(21.0211,-4.82669)
64: (x,y)=(22.9774,-4.41087)
65: (x,y)=(24.6354,-3.29248)
66: (x,y)=(24.8097,-1.30009)
67: (x,y)=(26.7416,-1.81773)
68: (x,y)=(26.5325,0.171312)
69: (x,y)=(26.7416,-1.81773)
70: (x,y)=(27.1574,0.138563)
71: (x,y)=(28.97,0.9838)
72: (x,y)=(27.8229,2.6221)
73: (x,y)=(28.3067,4.5627)
74: (x,y)=(26.3143,4.73701)
75: (x,y)=(24.3656,5.18691)
76: (x,y)=(23.19,6.80494)
77: (x,y)=(21.3924,7.68169)
78: (x,y)=(23.0505,6.5633)
79: (x,y)=(24.6686,5.38773)
80: (x,y)=(22.7053,5.00611)
81: (x,y)=(20.7065,5.07591)
82: (x,y)=(22.1928,6.41417)
83: (x,y)=(24.1901,6.51884)
84: (x,y)=(24.7413,4.59632)
85: (x,y)=(26.6085,5.31306)
86: (x,y)=(27.2596,3.42202)
87: (x,y)=(25.5635,2.36218)
88: (x,y)=(27.3128,3.3318)
89: (x,y)=(28.7515,1.94248)
90: (x,y)=(28.7515,3.94248)
91: (x,y)=(27.3128,5.3318)
92: (x,y)=(26.596,7.19896)
93: (x,y)=(27.8816,8.73105)
94: (x,y)=(29.4576,7.49973)
95: (x,y)=(30.9439,6.16146)
96: (x,y)=(28.9807,6.54308)
97: (x,y)=(27.8051,4.92505)
98: (x,y)=(29.7941,4.71599)
99: (x,y)=(29.7941,2.71599)
100: (x,y)=(31.3914,1.51236)
101: (x,y)=(29.4218,1.85966)
102: (x,y)=(31.1179,2.9195)
103: (x,y)=(31.327,4.90854)
104: (x,y)=(33.2396,4.3238)
105: (x,y)=(34.8156,5.55512)
106: (x,y)=(36.808,5.72943)
107: (x,y)=(36.2567,3.80691)
108: (x,y)=(34.6184,4.95406)
109: (x,y)=(35.9567,3.46777)
110: (x,y)=(37.6528,4.52761)
111: (x,y)=(38.9649,6.03703)
112: (x,y)=(37.9348,4.32269)
113: (x,y)=(36.9959,6.08859)
114: (x,y)=(38.5501,4.82995)
115: (x,y)=(40.4045,4.08074)
116: (x,y)=(40.9222,6.01259)
117: (x,y)=(41.406,4.072)
